path,bytes,MB,ext,top,prefix2,is_archive
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/fd/bf81fb98fae7/output_llm-oriented_fd_20260123_031138.json,1166305,1.166305,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/fd/bf81fb98fae7/output_llm-oriented_fd_20260123_030310.json,1166305,1.166305,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/.archive/root_legacy/CONTEXT.json,1148452,1.148452,.json,standard-model-of-code,standard-model-of-code/.archive,True
context-management/intelligence/corpus_inventory.json,901299,0.901299,.json,context-management,context-management/intelligence,False
archive/sessions/0-Defining Code Cosmology.md,763534,0.763534,.md,archive,archive/sessions,True
standard-model-of-code/src/patterns/t2_mined/ATOMS_T2_OTHER.yaml,713683,0.713683,.yaml,standard-model-of-code,standard-model-of-code/src,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/express/a479419b16f5/output_llm-oriented_express_20260123_030022.json,594160,0.59416,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/express/a479419b16f5/output_llm-oriented_express_20260123_030841.json,594160,0.59416,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/lodash/62b439f68964/output_llm-oriented_lodash_20260123_030040.json,581977,0.581977,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/artifacts/atom-research/2026-01-23-calibration/2026-01-23/repos/lodash/62b439f68964/output_llm-oriented_lodash_20260123_030857.json,581977,0.581977,.json,standard-model-of-code,standard-model-of-code/artifacts,False
standard-model-of-code/.archive/root_legacy/self_proof.json,463873,0.463873,.json,standard-model-of-code,standard-model-of-code/.archive,True
standard-model-of-code/tools/batch_grade/grades_DEGRADED_summary_only/20260124_224604/final_results_20260125_005603.json,436332,0.436332,.json,standard-model-of-code,standard-model-of-code/tools,False
context-management/intelligence/delta_state.json,302233,0.302233,.json,context-management,context-management/intelligence,False
archive/spectrometer_benchmarks_legacy/lodash/doc/README.md,294979,0.294979,.md,archive,archive/spectrometer_benchmarks_legacy,True
standard-model-of-code/src/patterns/t2_mined/ATOMS_T2_PYTHON.yaml,258279,0.258279,.yaml,standard-model-of-code,standard-model-of-code/src,False
evolution_report/evolution_data.json,237888,0.237888,.json,evolution_report,evolution_report/evolution_data.json,False
archive/grok_chats/001-grok-leonardo-lech-2.md,228287,0.228287,.md,archive,archive/grok_chats,True
archive/grok_chats/000-grok-leonardo-lech_1.md,228287,0.228287,.md,archive,archive/grok_chats,True
archive/grok_chats/004-grok-leo-lbldomain-1.md,220848,0.220848,.md,archive,archive/grok_chats,True
context-management/intelligence/atoms/atoms_brain.json,213065,0.213065,.json,context-management,context-management/intelligence,False
context-management/llm-threads/Fix Flow Mode Visuals.md,203325,0.203325,.md,context-management,context-management/llm-threads,False
archive/sessions/0-EXPANDED-MAP.md,200550,0.20055,.md,archive,archive/sessions,True
context-management/llm-threads/Verifying Gemini Model Access.md,194194,0.194194,.md,context-management,context-management/llm-threads,False
archive/grok_chats/002-grok-lbldomain-1.md,191552,0.191552,.md,archive,archive/grok_chats,True
context-management/docs/theory/THEORY.md,175832,0.175832,.md,context-management,context-management/docs,False
.agent/intelligence/chunks/aci_chunks.json,174128,0.174128,.json,.agent,.agent/intelligence,False
context-management/docs/archive/legacy_schema_2025/theory_v2.md,173582,0.173582,.md,context-management,context-management/docs,False
standard-model-of-code/.archive/docs_archive/theory_v2_ARCHIVED_20251227.md,173546,0.173546,.md,standard-model-of-code,standard-model-of-code/.archive,True
standard-model-of-code/tools/batch_grade/repos_999.json,168841,0.168841,.json,standard-model-of-code,standard-model-of-code/tools,False
standard-model-of-code/docs/registry/nodes.json,165120,0.16512,.json,standard-model-of-code,standard-model-of-code/docs,False
context-management/intelligence/atoms/atoms_body.json,164626,0.164626,.json,context-management,context-management/intelligence,False
PROJECT_METADATA.md,158087,0.158087,.md,<root>,<root>,False
archive/sessions/Collider Tool Review.md,138742,0.138742,.md,archive,archive/sessions,True
archive/spectrometer_audit_results/spectrometer_system_audit/output_run_fastapi2/results.json,138373,0.138373,.json,archive,archive/spectrometer_audit_results,True
standard-model-of-code/docs/research/SESSION_DUMP_2026-01-23.md,135411,0.135411,.md,standard-model-of-code,standard-model-of-code/docs,False
standard-model-of-code/src/patterns/t2_mined/ATOMS_T2_JAVASCRIPT.yaml,133185,0.133185,.yaml,standard-model-of-code,standard-model-of-code/src,False
context-management/docs/archive/legacy_schema_2025/theory_v2.0.md,127409,0.127409,.md,context-management,context-management/docs,False
